"","Municipio","MUESTRA","UBICACIÓN","MUESTREO","GEOREFERENCIACIÓN","ÁREA.GEOGRAFICA","ANÁLISIS.EFECTUADO","SECTOR.AMBIENTAL","RESULTADOS","Picloram","Metomilo","Imazapir","Imidacloprid","Dimetoato","Atz-OH","Atz-desisopropil","Imazetapir","Imazapic","Pirimicarb","Aldicarb","Atz-desetil","Metsulfurón.Metil","Imazaquin","Alaclor","Diclorvos","Carbofuran","Metribuzin","Diclosulam","Carbaril","Metalaxil","Ametrina","Atrazina","Hidroxiatrazina","DEET","Flumioxazin","Paratión.metil","Fomesafen","Clorimurón.etil","Malatión","Epoxiconazol","Azoxystrobina","Triticonazol","Flurocloridona","Metolaclor","Acetoclor","Acetamiprid","Clorpirifos-Metil","Metconazol","Kresoxim.metil","Tebuconazol","Pirimifos.metil","Diazinon","Piperonil.butóxido","Clorpirifos","Tetrametrina","Aletrina","Pendimentalin","Dicamba","Fipronil","2,4-DB","2,4-D","Halauxifen-M","Glifosato","AMPA","Glufosinato","POCs","y-HCH","β-HCH","y-Chlordane","α-Chlordane","Endosulfán","α-Endosulfan","β-Endosulfan","Endosulfán.sulfato","p,p’-DDT","p,p’-DDE","p,p.́-DDD","Aldrin","Dieldrin","Eldrin","Heptacloro","Heptacloro.epóxido","Fluorocloridona","Dietil-toluamida","FECHA","LABORATORIO","INVESTIGADOR/A","SOLICITANTE.DEL.ESTUDIO","RESULTADOS","INFORME.|.PAPER","CITA.PAPER","COMENTARIO"
"1","Lobos","28.0","Antonio Carboni (Pdo. de Lobos)","N°2 (PRIMAVERA/VERANO)","-35.20068432406212, -59.345200616023334","Zona urbana","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,"0,013  (µg/L)  ",NA,"<0,001 (µg/L)    ","<0,005 (µg/L)  ","<0,0008 (µg/L)  ",NA,NA,NA,NA,"0,011 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,0006 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
"2","Lobos","14.0","Antonio Carboni (Pdo. de Lobos)","N°2 (PRIMAVERA/VERANO)","-35.20068432406212, -59.345200616023334","Zona urbana","Plaguicidas de uso actual","Agua de Red","-------------------->",NA,NA,NA,NA,NA,"<0,001 (µg/L)    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,002 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
"3","Lobos","29.0","Arroyo el Toro (Pdo. de Lobos)","N°2 (PRIMAVERA/VERANO)","-35.238280136191754, -59.08050811189204","Zona rural","Plaguicidas de uso actual","Sedimentos","-------------------->",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,2 (µg/Kg) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70,3 (µg/Kg) ",NA,"18,2 (µg/Kg)","11 (µg/Kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
"4","Lobos","23.0","Barrio de viviendas ruta 41 (Pdo. de Lobos)","N°2 (PRIMAVERA/VERANO)","-35.1807987146828, -59.129910048601246","Zona urbana","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
"5","Lobos","6.0","Boca del Arroyo Las Garzas","N°2 (PRIMAVERA/VERANO)","-35.26801993005267, -59.11662770209911","Zona rural","Plaguicidas de uso actual","Agua Superficial","-------------------->",NA,NA,NA,NA,NA,"0,457 (µg/L)    ","0,029 (µg/L)  ","0,004 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,001 (µg/L)  ","0,005 (µg/L)  ","0,706 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,0007 (µg/L)  ","<0,0006 (µg/L) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,0009 (µg/L) ",NA,NA,NA,"0,078 (µg/L) ",NA,NA,"0,053 (µg/L) ",NA,"0,3 (µg/L) ","<0,15 (µg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
"6","Lobos","6.0","Boca del Arroyo las Garzas","N°1 (INVIERNO/OTOÑO)","-35.26801993005267, -59.11662770209911","Zona rural","Plaguicidas de uso actual","Agua Superficial","-------------------->",NA,NA,NA,NA,NA,"0,220 (µg/L)    ","0,075 (µg/L)    ",NA,NA,NA,NA,"0,111(µg/L)    ",NA,NA,"0,039 (µg/L)    ",NA,NA,NA,NA,NA,NA,"0,039 (µg/L)  ","2,090 (µg/L)  ",NA,NA,NA,NA,NA,"0,01 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,005(µg/L)",NA,NA,NA,NA,NA,NA,NA,"<0,09 (µg/L)",NA,NA,"<0,015 (µg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-04-17","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1V76nq5XoqFoi7sS-b62AUHE5FkxKtvxx/view","https://drive.google.com/file/d/1fg-fW1rVevCIQGtXdC2gYsQZEWi9Lj0T/view",NA,NA
"7","Lobos","7.0","Boca del Arroyo Las Garzas","N°2 (PRIMAVERA/VERANO)","-35.26801993005267, -59.11662770209911","Zona rural","Plaguicidas de uso actual","Sedimentos","-------------------->",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,2 (µg/Kg)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,8  (µg/Kg) ",NA,NA,NA,NA,NA,NA,NA,NA,"19 (µg/Kg)","75,5 (µg/Kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
"8","Lobos","7.0","Boca del Arroyo las Garzas","N°1 (INVIERNO/OTOÑO)","-35.26801993005267, -59.11662770209911","Zona rural","Plaguicidas de uso actual","Sedimentos","-------------------->",NA,NA,NA,NA,NA,"12 (µg/Kg)    ",NA,NA,NA,NA,NA,"<1,8 (µg/Kg)    ",NA,NA,NA,NA,NA,NA,NA,NA,"<0,7 (µg/Kg)  ",NA,"<0,3 (µg/Kg)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 (µg/Kg)  ",NA,NA,NA,NA,NA,NA,NA,NA,"13 (µg/Kg)",NA,NA,NA,NA,NA,NA,"7,2 (µg/Kg)",NA,"8,5 (µg/Kg)","161 (µg/Kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-04-17","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1V76nq5XoqFoi7sS-b62AUHE5FkxKtvxx/view","https://drive.google.com/file/d/1fg-fW1rVevCIQGtXdC2gYsQZEWi9Lj0T/view",NA,NA
"9","Lobos","9.0","Bomba 19. Camino Real a Zapiola","N°1 (INVIERNO/OTOÑO)","-35.13983414511969, -59.07642652639521","Zona periurbana","Plaguicidas de uso actual","Agua de Red","-------------------->",NA,NA,NA,NA,NA,"0,037 (µg/L)    ",NA,NA,NA,"<0,003 (µg/L)    ",NA,"0,008 (µg/L)    ",NA,NA,NA,NA,NA,NA,NA,NA,"<0,0004 (µg/L)  ",NA,"0,567 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,"<0,002 (µg/L)  ",NA,NA,NA,"<0,004 (µg/L)  ",NA,NA,NA,NA,NA,"0,007 (µg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,508 (µg/L)","4,540 (µg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-04-17","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1V76nq5XoqFoi7sS-b62AUHE5FkxKtvxx/view","https://drive.google.com/file/d/1fg-fW1rVevCIQGtXdC2gYsQZEWi9Lj0T/view",NA,NA
"10","Lobos","25.0","Campo camino a Uribelarrea (Pdo. de Lobos)","N°2 (PRIMAVERA/VERANO)","-35.1547495,-58.9838841","Zona rural","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,0006 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
